"","LHD","EFm","County","long","lat","group","order","region"
"178","Central Utah",15.5870820318156,"juab",-112.064811706543,39.780460357666,12,585,"utah"
"179","Central Utah",15.5870820318156,"juab",-111.990325927734,39.8091087341309,12,586,"utah"
"180","Central Utah",15.5870820318156,"juab",-111.938758850098,39.8835906982422,12,587,"utah"
"181","Central Utah",15.5870820318156,"juab",-111.829902648926,39.9294281005859,12,588,"utah"
"182","Central Utah",15.5870820318156,"juab",-111.801254272461,39.923698425293,12,589,"utah"
"183","Central Utah",15.5870820318156,"juab",-111.721038818359,39.8434867858887,12,590,"utah"
"184","Central Utah",15.5870820318156,"juab",-111.686668395996,39.8033790588379,12,591,"utah"
"185","Central Utah",15.5870820318156,"juab",-111.652282714844,39.8148345947266,12,592,"utah"
"186","Central Utah",15.5870820318156,"millard",-112.024703979492,39.327823638916,14,649,"utah"
"187","Central Utah",15.5870820318156,"millard",-112.018981933594,39.0585327148438,14,650,"utah"
"188","Central Utah",15.5870820318156,"millard",-112.018981933594,39.0069694519043,14,651,"utah"
"189","Central Utah",15.5870820318156,"millard",-112.064811706543,39.0069694519043,14,652,"utah"
"190","Central Utah",15.5870820318156,"millard",-112.064811706543,38.9725875854492,14,653,"utah"
"191","Central Utah",15.5870820318156,"millard",-112.133575439453,38.9668617248535,14,654,"utah"
"192","Central Utah",15.5870820318156,"millard",-112.190864562988,38.869457244873,14,655,"utah"
"193","Central Utah",15.5870820318156,"millard",-112.236701965332,38.869457244873,14,656,"utah"
"194","Central Utah",15.5870820318156,"millard",-112.230972290039,38.7720527648926,14,657,"utah"
"195","Central Utah",15.5870820318156,"millard",-112.21378326416,38.7777824401855,14,658,"utah"
"196","Central Utah",15.5870820318156,"millard",-112.219512939453,38.737678527832,14,659,"utah"
"197","Central Utah",15.5870820318156,"millard",-112.305458068848,38.686107635498,14,660,"utah"
"198","Central Utah",15.5870820318156,"millard",-112.357025146484,38.686107635498,14,661,"utah"
"199","Central Utah",15.5870820318156,"millard",-112.362754821777,38.6975708007812,14,662,"utah"
"200","Central Utah",15.5870820318156,"millard",-112.454429626465,38.686107635498,14,663,"utah"
"201","Central Utah",15.5870820318156,"millard",-112.483070373535,38.6173553466797,14,664,"utah"
"202","Central Utah",15.5870820318156,"millard",-112.511726379395,38.6173553466797,14,665,"utah"
"203","Central Utah",15.5870820318156,"millard",-112.511726379395,38.5944366455078,14,666,"utah"
"204","Central Utah",15.5870820318156,"millard",-112.677879333496,38.5887069702148,14,667,"utah"
"205","Central Utah",15.5870820318156,"millard",-113.078948974609,38.5887069702148,14,668,"utah"
"206","Central Utah",15.5870820318156,"millard",-113.497215270996,38.5887069702148,14,669,"utah"
"207","Central Utah",15.5870820318156,"millard",-113.829528808594,38.5887069702148,14,670,"utah"
"208","Central Utah",15.5870820318156,"millard",-114.047248840332,38.5887069702148,14,671,"utah"
"209","Central Utah",15.5870820318156,"millard",-114.047248840332,38.6689224243164,14,672,"utah"
"210","Central Utah",15.5870820318156,"millard",-114.041519165039,39.5398178100586,14,673,"utah"
"211","Central Utah",15.5870820318156,"millard",-113.829528808594,39.5398178100586,14,674,"utah"
"212","Central Utah",15.5870820318156,"millard",-113.502937316895,39.5455436706543,14,675,"utah"
"213","Central Utah",15.5870820318156,"millard",-113.11905670166,39.5398178100586,14,676,"utah"
"214","Central Utah",15.5870820318156,"millard",-112.72371673584,39.5398178100586,14,677,"utah"
"215","Central Utah",15.5870820318156,"millard",-112.42578125,39.5398178100586,14,678,"utah"
"216","Central Utah",15.5870820318156,"millard",-112.276809692383,39.5455436706543,14,679,"utah"
"217","Central Utah",15.5870820318156,"millard",-112.253890991211,39.5627365112305,14,680,"utah"
"218","Central Utah",15.5870820318156,"millard",-112.236701965332,39.5570068359375,14,681,"utah"
"219","Central Utah",15.5870820318156,"millard",-112.202323913574,39.5741958618164,14,682,"utah"
"220","Central Utah",15.5870820318156,"millard",-112.190864562988,39.5512771606445,14,683,"utah"
"221","Central Utah",15.5870820318156,"millard",-112.202323913574,39.5226287841797,14,684,"utah"
"222","Central Utah",15.5870820318156,"millard",-112.196594238281,39.4825248718262,14,685,"utah"
"223","Central Utah",15.5870820318156,"millard",-112.208053588867,39.4538726806641,14,686,"utah"
"224","Central Utah",15.5870820318156,"millard",-112.196594238281,39.4137687683105,14,687,"utah"
"225","Central Utah",15.5870820318156,"millard",-112.21378326416,39.3908500671387,14,688,"utah"
"226","Central Utah",15.5870820318156,"millard",-112.185134887695,39.3450126647949,14,689,"utah"
"227","Central Utah",15.5870820318156,"millard",-112.076271057129,39.339282989502,14,690,"utah"
"228","Central Utah",15.5870820318156,"millard",-112.070541381836,39.327823638916,14,691,"utah"
"229","Central Utah",15.5870820318156,"millard",-112.024703979492,39.327823638916,14,692,"utah"
"230","Central Utah",15.5870820318156,"piute",-111.852821350098,38.1589889526367,16,745,"utah"
"231","Central Utah",15.5870820318156,"piute",-111.950225830078,38.1647186279297,16,746,"utah"
"232","Central Utah",15.5870820318156,"piute",-111.955955505371,38.1417999267578,16,747,"utah"
"233","Central Utah",15.5870820318156,"piute",-112.047630310059,38.1417999267578,16,748,"utah"
"234","Central Utah",15.5870820318156,"piute",-112.047630310059,38.1647186279297,16,749,"utah"
"235","Central Utah",15.5870820318156,"piute",-112.282539367676,38.1647186279297,16,750,"utah"
"236","Central Utah",15.5870820318156,"piute",-112.448699951172,38.1589889526367,16,751,"utah"
"237","Central Utah",15.5870820318156,"piute",-112.431503295898,38.1876373291016,16,752,"utah"
"238","Central Utah",15.5870820318156,"piute",-112.357025146484,38.2392044067383,16,753,"utah"
"239","Central Utah",15.5870820318156,"piute",-112.36848449707,38.2793121337891,16,754,"utah"
"240","Central Utah",15.5870820318156,"piute",-112.334106445312,38.3251495361328,16,755,"utah"
"241","Central Utah",15.5870820318156,"piute",-112.339836120605,38.3480682373047,16,756,"utah"
"242","Central Utah",15.5870820318156,"piute",-112.402862548828,38.3881721496582,16,757,"utah"
"243","Central Utah",15.5870820318156,"piute",-112.408592224121,38.422550201416,16,758,"utah"
"244","Central Utah",15.5870820318156,"piute",-112.442962646484,38.428279876709,16,759,"utah"
"245","Central Utah",15.5870820318156,"piute",-112.517448425293,38.4741172790527,16,760,"utah"
"246","Central Utah",15.5870820318156,"piute",-112.517448425293,38.5027618408203,16,761,"utah"
"247","Central Utah",15.5870820318156,"piute",-111.715309143066,38.5027618408203,16,762,"utah"
"248","Central Utah",15.5870820318156,"piute",-111.784065246582,38.4741172790527,16,763,"utah"
"249","Central Utah",15.5870820318156,"piute",-111.812713623047,38.4454689025879,16,764,"utah"
"250","Central Utah",15.5870820318156,"piute",-111.852821350098,38.428279876709,16,765,"utah"
"251","Central Utah",15.5870820318156,"piute",-111.852821350098,38.2277450561523,16,766,"utah"
"252","Central Utah",15.5870820318156,"piute",-111.852821350098,38.1589889526367,16,767,"utah"
"253","Central Utah",15.5870820318156,"sevier",-111.297050476074,39.0413436889648,21,1000,"utah"
"254","Central Utah",15.5870820318156,"sevier",-111.297050476074,38.5027618408203,21,1001,"utah"
"255","Central Utah",15.5870820318156,"sevier",-111.715309143066,38.5027618408203,21,1002,"utah"
"256","Central Utah",15.5870820318156,"sevier",-112.517448425293,38.5027618408203,21,1003,"utah"
"257","Central Utah",15.5870820318156,"sevier",-112.523178100586,38.5428695678711,21,1004,"utah"
"258","Central Utah",15.5870820318156,"sevier",-112.505996704102,38.5715179443359,21,1005,"utah"
"259","Central Utah",15.5870820318156,"sevier",-112.511726379395,38.5944366455078,21,1006,"utah"
"260","Central Utah",15.5870820318156,"sevier",-112.511726379395,38.6173553466797,21,1007,"utah"
"261","Central Utah",15.5870820318156,"sevier",-112.483070373535,38.6173553466797,21,1008,"utah"
"262","Central Utah",15.5870820318156,"sevier",-112.454429626465,38.686107635498,21,1009,"utah"
"263","Central Utah",15.5870820318156,"sevier",-112.362754821777,38.6975708007812,21,1010,"utah"
"264","Central Utah",15.5870820318156,"sevier",-112.357025146484,38.686107635498,21,1011,"utah"
"265","Central Utah",15.5870820318156,"sevier",-112.305458068848,38.686107635498,21,1012,"utah"
"266","Central Utah",15.5870820318156,"sevier",-112.219512939453,38.737678527832,21,1013,"utah"
"267","Central Utah",15.5870820318156,"sevier",-112.21378326416,38.7777824401855,21,1014,"utah"
"268","Central Utah",15.5870820318156,"sevier",-112.230972290039,38.7720527648926,21,1015,"utah"
"269","Central Utah",15.5870820318156,"sevier",-112.236701965332,38.869457244873,21,1016,"utah"
"270","Central Utah",15.5870820318156,"sevier",-112.190864562988,38.869457244873,21,1017,"utah"
"271","Central Utah",15.5870820318156,"sevier",-112.133575439453,38.9668617248535,21,1018,"utah"
"272","Central Utah",15.5870820318156,"sevier",-112.064811706543,38.9725875854492,21,1019,"utah"
"273","Central Utah",15.5870820318156,"sevier",-112.064811706543,39.0069694519043,21,1020,"utah"
"274","Central Utah",15.5870820318156,"sevier",-112.018981933594,39.0069694519043,21,1021,"utah"
"275","Central Utah",15.5870820318156,"sevier",-112.018981933594,39.0585327148438,21,1022,"utah"
"276","Central Utah",15.5870820318156,"sevier",-111.864280700684,39.0585327148438,21,1023,"utah"
"277","Central Utah",15.5870820318156,"sevier",-111.858551025391,39.0413436889648,21,1024,"utah"
"278","Central Utah",15.5870820318156,"sevier",-111.297050476074,39.0413436889648,21,1025,"utah"
"279","Central Utah",15.5870820318156,"sanpete",-112.018981933594,39.0585327148438,20,972,"utah"
"280","Central Utah",15.5870820318156,"sanpete",-112.024703979492,39.327823638916,20,973,"utah"
"281","Central Utah",15.5870820318156,"sanpete",-112.018981933594,39.3450126647949,20,974,"utah"
"282","Central Utah",15.5870820318156,"sanpete",-111.961685180664,39.3450126647949,20,975,"utah"
"283","Central Utah",15.5870820318156,"sanpete",-111.967414855957,39.3736610412598,20,976,"utah"
"284","Central Utah",15.5870820318156,"sanpete",-111.921577453613,39.3736610412598,20,977,"utah"
"285","Central Utah",15.5870820318156,"sanpete",-111.91584777832,39.3908500671387,20,978,"utah"
"286","Central Utah",15.5870820318156,"sanpete",-111.755416870117,39.3908500671387,20,979,"utah"
"287","Central Utah",15.5870820318156,"sanpete",-111.755416870117,39.4596061706543,20,980,"utah"
"288","Central Utah",15.5870820318156,"sanpete",-111.726776123047,39.46533203125,20,981,"utah"
"289","Central Utah",15.5870820318156,"sanpete",-111.721038818359,39.6887893676758,20,982,"utah"
"290","Central Utah",15.5870820318156,"sanpete",-111.646560668945,39.7403526306152,20,983,"utah"
"291","Central Utah",15.5870820318156,"sanpete",-111.594993591309,39.7403526306152,20,984,"utah"
"292","Central Utah",15.5870820318156,"sanpete",-111.594993591309,39.774730682373,20,985,"utah"
"293","Central Utah",15.5870820318156,"sanpete",-111.629364013672,39.780460357666,20,986,"utah"
"294","Central Utah",15.5870820318156,"sanpete",-111.629364013672,39.7976493835449,20,987,"utah"
"295","Central Utah",15.5870820318156,"sanpete",-111.652282714844,39.7976493835449,20,988,"utah"
"296","Central Utah",15.5870820318156,"sanpete",-111.652282714844,39.8148345947266,20,989,"utah"
"297","Central Utah",15.5870820318156,"sanpete",-111.245483398438,39.8148345947266,20,990,"utah"
"298","Central Utah",15.5870820318156,"sanpete",-111.245483398438,39.7002449035645,20,991,"utah"
"299","Central Utah",15.5870820318156,"sanpete",-111.25121307373,39.471061706543,20,992,"utah"
"300","Central Utah",15.5870820318156,"sanpete",-111.297050476074,39.46533203125,20,993,"utah"
"301","Central Utah",15.5870820318156,"sanpete",-111.297050476074,39.155933380127,20,994,"utah"
"302","Central Utah",15.5870820318156,"sanpete",-111.297050476074,39.0413436889648,20,995,"utah"
"303","Central Utah",15.5870820318156,"sanpete",-111.858551025391,39.0413436889648,20,996,"utah"
"304","Central Utah",15.5870820318156,"sanpete",-111.864280700684,39.0585327148438,20,997,"utah"
"305","Central Utah",15.5870820318156,"sanpete",-112.018981933594,39.0585327148438,20,998,"utah"
"306","Central Utah",15.5870820318156,"wayne",-111.715309143066,38.5027618408203,28,1351,"utah"
