"Date","jurisdiction","Daily Case Rate / 100,000","Seven-day Average Case Rate"
2020-03-27,"Tooele County",4.2,1.2
2020-03-27,"TriCounty",0,0.3
2020-03-27,"Utah County",0.8,0.6
2020-03-27,"Wasatch County",26.4,13
2020-03-27,"Weber-Morgan",4,1.3
2020-03-28,"Bear River",1.6,0.6
2020-03-28,"Central Utah",0,0
2020-03-28,"Davis County",3.4,2.1
2020-03-28,"Salt Lake County",4.6,3.1
2020-03-28,"San Juan",13.1,3.7
2020-03-28,"Southeast Utah",0,0.4
2020-03-28,"Southwest Utah",0.4,0.7
2020-03-28,"Summit County",56.9,39
2020-03-28,"Tooele County",1.4,1.4
2020-03-28,"TriCounty",0,0.3
2020-03-28,"Utah County",1.9,0.8
2020-03-28,"Wasatch County",2.9,13.4
2020-03-28,"Weber-Morgan",2.2,1.6
2020-03-29,"Bear River",1.1,0.8
2020-03-29,"Central Utah",0,0
2020-03-29,"Davis County",2.3,2.1
2020-03-29,"Salt Lake County",3.3,3.2
2020-03-29,"San Juan",0,3.7
2020-03-29,"Southeast Utah",0,0.4
2020-03-29,"Southwest Utah",1.2,0.7
2020-03-29,"Summit County",42.7,34.9
2020-03-29,"Tooele County",0,1.4
2020-03-29,"TriCounty",0,0.3
2020-03-29,"Utah County",3.5,1.2
2020-03-29,"Wasatch County",17.6,14.2
2020-03-29,"Weber-Morgan",1.1,1.6
2020-03-30,"Bear River",0.5,0.8
2020-03-30,"Central Utah",0,0
2020-03-30,"Davis County",1.7,2.3
2020-03-30,"Salt Lake County",3.7,3.6
2020-03-30,"San Juan",0,3.7
2020-03-30,"Southeast Utah",0,0.4
2020-03-30,"Southwest Utah",3.2,1.1
2020-03-30,"Summit County",47.5,37.3
2020-03-30,"Tooele County",4.2,2
2020-03-30,"TriCounty",1.8,0.5
2020-03-30,"Utah County",2.7,1.5
2020-03-30,"Wasatch County",26.4,16.3
2020-03-30,"Weber-Morgan",1.8,1.8
2020-03-31,"Bear River",0.5,0.7
2020-03-31,"Central Utah",0,0
2020-03-31,"Davis County",2.5,2.3
2020-03-31,"Salt Lake County",3.1,3.5
2020-03-31,"San Juan",0,3.7
2020-03-31,"Southeast Utah",0,0.4
2020-03-31,"Southwest Utah",1.2,1.2
2020-03-31,"Summit County",21.4,37.3
2020-03-31,"Tooele County",0,1.8
2020-03-31,"TriCounty",0,0.5
2020-03-31,"Utah County",2.4,1.7
2020-03-31,"Wasatch County",8.8,17.2
2020-03-31,"Weber-Morgan",2.2,2.1
2020-04-01,"Bear River",0.5,0.8
2020-04-01,"Central Utah",2.4,0.3
2020-04-01,"Davis County",3.1,2.7
2020-04-01,"Salt Lake County",3.4,3.8
2020-04-01,"San Juan",6.5,4.7
2020-04-01,"Southeast Utah",0,0.4
2020-04-01,"Southwest Utah",0.8,1.2
2020-04-01,"Summit County",21.4,37.3
2020-04-01,"Tooele County",0,1.6
2020-04-01,"TriCounty",0,0.5
2020-04-01,"Utah County",1.7,1.9
2020-04-01,"Wasatch County",8.8,16.3
2020-04-01,"Weber-Morgan",0.7,2.1
2020-04-02,"Bear River",4.3,1.3
2020-04-02,"Central Utah",0,0.3
2020-04-02,"Davis County",6.2,3.1
2020-04-02,"Salt Lake County",6.7,4.2
2020-04-02,"San Juan",0,4.7
2020-04-02,"Southeast Utah",2.5,0.7
2020-04-02,"Southwest Utah",0.8,1.3
2020-04-02,"Summit County",45.1,42
2020-04-02,"Tooele County",2.8,1.8
2020-04-02,"TriCounty",0,0.3
2020-04-02,"Utah County",8.2,3
2020-04-02,"Wasatch County",26.4,16.8
2020-04-02,"Weber-Morgan",3.7,2.3
2020-04-03,"Bear River",2.1,1.5
2020-04-03,"Central Utah",1.2,0.5
2020-04-03,"Davis County",3.1,3.2
2020-04-03,"Salt Lake County",7.4,4.6
2020-04-03,"San Juan",6.5,3.7
2020-04-03,"Southeast Utah",0,0.4
2020-04-03,"Southwest Utah",1.2,1.2
2020-04-03,"Summit County",30.8,38
2020-04-03,"Tooele County",2.8,1.6
2020-04-03,"TriCounty",0,0.3
2020-04-03,"Utah County",4.6,3.5
2020-04-03,"Wasatch County",5.9,13.8
2020-04-03,"Weber-Morgan",1.8,1.9
2020-04-04,"Bear River",2.1,1.6
2020-04-04,"Central Utah",1.2,0.7
2020-04-04,"Davis County",1.4,2.9
2020-04-04,"Salt Lake County",7.2,5
2020-04-04,"San Juan",6.5,2.8
2020-04-04,"Southeast Utah",2.5,0.7
2020-04-04,"Southwest Utah",2,1.5
2020-04-04,"Summit County",52.2,37.3
2020-04-04,"Tooele County",4.2,2
2020-04-04,"TriCounty",0,0.3
2020-04-04,"Utah County",5,4
2020-04-04,"Wasatch County",14.7,15.5
2020-04-04,"Weber-Morgan",1.5,1.8
2020-04-05,"Bear River",1.6,1.7
2020-04-05,"Central Utah",0,0.7
2020-04-05,"Davis County",3.1,3
2020-04-05,"Salt Lake County",3.3,5
2020-04-05,"San Juan",0,2.8
2020-04-05,"Southeast Utah",0,0.7
2020-04-05,"Southwest Utah",1.2,1.5
2020-04-05,"Summit County",14.2,33.2
2020-04-05,"Tooele County",4.2,2.6
2020-04-05,"TriCounty",0,0.3
2020-04-05,"Utah County",0.8,3.6
2020-04-05,"Wasatch County",2.9,13.4
2020-04-05,"Weber-Morgan",1.1,1.8
2020-04-06,"Bear River",1.1,1.8
2020-04-06,"Central Utah",0,0.7
2020-04-06,"Davis County",1.1,2.9
2020-04-06,"Salt Lake County",3.4,4.9
2020-04-06,"San Juan",0,2.8
2020-04-06,"Southeast Utah",0,0.7
2020-04-06,"Southwest Utah",0,1
2020-04-06,"Summit County",0,26.4
2020-04-06,"Tooele County",0,2
2020-04-06,"TriCounty",1.8,0.3
2020-04-06,"Utah County",1.9,3.5
2020-04-06,"Wasatch County",11.7,11.3
2020-04-06,"Weber-Morgan",1.1,1.7
2020-04-07,"Bear River",1.6,1.9
2020-04-07,"Central Utah",1.2,0.9
2020-04-07,"Davis County",1.1,2.7
2020-04-07,"Salt Lake County",4.1,5.1
2020-04-07,"San Juan",0,2.8
2020-04-07,"Southeast Utah",2.5,1.1
2020-04-07,"Southwest Utah",0,0.9
2020-04-07,"Summit County",26.1,27.1
2020-04-07,"Tooele County",0,2
2020-04-07,"TriCounty",5.3,1
2020-04-07,"Utah County",1.6,3.4
2020-04-07,"Wasatch County",8.8,11.3
2020-04-07,"Weber-Morgan",0,1.4
2020-04-08,"Bear River",1.1,2
2020-04-08,"Central Utah",1.2,0.7
2020-04-08,"Davis County",2.5,2.7
2020-04-08,"Salt Lake County",7,5.6
2020-04-08,"San Juan",0,1.9
2020-04-08,"Southeast Utah",0,1.1
2020-04-08,"Southwest Utah",2.4,1.1
2020-04-08,"Summit County",30.8,28.5
2020-04-08,"Tooele County",1.4,2.2
2020-04-08,"TriCounty",3.5,1.5
2020-04-08,"Utah County",3.5,3.6
2020-04-08,"Wasatch County",20.5,13
2020-04-08,"Weber-Morgan",2.2,1.6
2020-04-09,"Bear River",0.5,1.5
2020-04-09,"Central Utah",0,0.7
2020-04-09,"Davis County",2.5,2.1
2020-04-09,"Salt Lake County",6.2,5.5
2020-04-09,"San Juan",0,1.9
2020-04-09,"Southeast Utah",0,0.7
2020-04-09,"Southwest Utah",1.2,1.1
2020-04-09,"Summit County",21.4,25.1
2020-04-09,"Tooele County",5.5,2.6
2020-04-09,"TriCounty",0,1.5
2020-04-09,"Utah County",2.4,2.8
2020-04-09,"Wasatch County",14.7,11.3
2020-04-09,"Weber-Morgan",2.6,1.5
2020-04-10,"Bear River",1.1,1.3
2020-04-10,"Central Utah",0,0.5
2020-04-10,"Davis County",3.7,2.2
2020-04-10,"Salt Lake County",6.2,5.3
2020-04-10,"San Juan",13.1,2.8
2020-04-10,"Southeast Utah",0,0.7
2020-04-10,"Southwest Utah",0.8,1.1
2020-04-10,"Summit County",7.1,21.7
2020-04-10,"Tooele County",6.9,3.2
2020-04-10,"TriCounty",0,1.5
2020-04-10,"Utah County",2.5,2.5
2020-04-10,"Wasatch County",8.8,11.7
2020-04-10,"Weber-Morgan",0.7,1.3
2020-04-11,"Bear River",1.1,1.1
2020-04-11,"Central Utah",0,0.3
2020-04-11,"Davis County",2,2.3
2020-04-11,"Salt Lake County",4.5,4.9
2020-04-11,"San Juan",0,1.9
2020-04-11,"Southeast Utah",0,0.4
2020-04-11,"Southwest Utah",0.8,0.9
2020-04-11,"Summit County",14.2,16.3
2020-04-11,"Tooele County",1.4,2.8
2020-04-11,"TriCounty",0,1.5
2020-04-11,"Utah County",3.8,2.3
2020-04-11,"Wasatch County",11.7,11.3
2020-04-11,"Weber-Morgan",0.7,1.2
2020-04-12,"Bear River",1.6,1.1
2020-04-12,"Central Utah",0,0.3
2020-04-12,"Davis County",2,2.1
2020-04-12,"Salt Lake County",2.5,4.8
2020-04-12,"San Juan",6.5,2.8
2020-04-12,"Southeast Utah",0,0.4
2020-04-12,"Southwest Utah",0,0.7
2020-04-12,"Summit County",4.7,14.9
2020-04-12,"Tooele County",1.4,2.4
2020-04-12,"TriCounty",0,1.5
2020-04-12,"Utah County",1.4,2.4
2020-04-12,"Wasatch County",0,10.9
2020-04-12,"Weber-Morgan",2.6,1.4
2020-04-13,"Bear River",0,1
2020-04-13,"Central Utah",0,0.3
2020-04-13,"Davis County",0.8,2.1
2020-04-13,"Salt Lake County",2.7,4.7
2020-04-13,"San Juan",0,2.8
2020-04-13,"Southeast Utah",0,0.4
2020-04-13,"Southwest Utah",0.8,0.9
2020-04-13,"Summit County",2.4,15.3
2020-04-13,"Tooele County",0,2.4
2020-04-13,"TriCounty",0,1.3
2020-04-13,"Utah County",1.1,2.3
2020-04-13,"Wasatch County",0,9.2
2020-04-13,"Weber-Morgan",1.1,1.4
2020-04-14,"Bear River",0.5,0.8
2020-04-14,"Central Utah",2.4,0.5
2020-04-14,"Davis County",1.7,2.2
2020-04-14,"Salt Lake County",8.4,5.4
2020-04-14,"San Juan",0,2.8
2020-04-14,"Southeast Utah",0,0
2020-04-14,"Southwest Utah",0,0.9
2020-04-14,"Summit County",2.4,11.9
2020-04-14,"Tooele County",1.4,2.6
2020-04-14,"TriCounty",0,0.5
2020-04-14,"Utah County",1.6,2.3
2020-04-14,"Wasatch County",0,8
2020-04-14,"Weber-Morgan",1.1,1.6
2020-04-15,"Bear River",1.1,0.8
2020-04-15,"Central Utah",0,0.3
2020-04-15,"Davis County",0.8,1.9
2020-04-15,"Salt Lake County",8,5.5
2020-04-15,"San Juan",0,2.8
2020-04-15,"Southeast Utah",0,0
2020-04-15,"Southwest Utah",1.2,0.7
2020-04-15,"Summit County",7.1,8.5
2020-04-15,"Tooele County",0,2.4
2020-04-15,"TriCounty",1.8,0.3
2020-04-15,"Utah County",4.7,2.5
2020-04-15,"Wasatch County",0,5
2020-04-15,"Weber-Morgan",0.7,1.4
2020-04-16,"Bear River",0.5,0.8
2020-04-16,"Central Utah",3.7,0.9
2020-04-16,"Davis County",2.3,1.9
2020-04-16,"Salt Lake County",6.7,5.6
2020-04-16,"San Juan",32.7,7.5
2020-04-16,"Southeast Utah",2.5,0.4
2020-04-16,"Southwest Utah",0.8,0.6
2020-04-16,"Summit County",4.7,6.1
2020-04-16,"Tooele County",1.4,1.8
2020-04-16,"TriCounty",0,0.3
2020-04-16,"Utah County",4.2,2.8
2020-04-16,"Wasatch County",0,2.9
2020-04-16,"Weber-Morgan",0.7,1.1
2020-04-17,"Bear River",0,0.7
2020-04-17,"Central Utah",1.2,1
2020-04-17,"Davis County",1.1,1.5
2020-04-17,"Salt Lake County",8.1,5.8
2020-04-17,"San Juan",0,5.6
2020-04-17,"Southeast Utah",0,0.4
2020-04-17,"Southwest Utah",0.8,0.6
2020-04-17,"Summit County",14.2,7.1
2020-04-17,"Tooele County",1.4,1
2020-04-17,"TriCounty",0,0.3
2020-04-17,"Utah County",3.1,2.9
2020-04-17,"Wasatch County",14.7,3.8
2020-04-17,"Weber-Morgan",0.7,1.1
2020-04-18,"Bear River",1.1,0.7
2020-04-18,"Central Utah",3.7,1.6
2020-04-18,"Davis County",1.4,1.4
2020-04-18,"Salt Lake County",5.8,6
2020-04-18,"San Juan",13.1,7.5
2020-04-18,"Southeast Utah",2.5,0.7
2020-04-18,"Southwest Utah",0.4,0.6
2020-04-18,"Summit County",2.4,5.4
2020-04-18,"Tooele County",4.2,1.4
2020-04-18,"TriCounty",0,0.3
2020-04-18,"Utah County",5.8,3.1
2020-04-18,"Wasatch County",5.9,2.9
2020-04-18,"Weber-Morgan",2.9,1.4
2020-04-19,"Bear River",0.5,0.5
2020-04-19,"Central Utah",3.7,2.1
2020-04-19,"Davis County",2.3,1.5
2020-04-19,"Salt Lake County",4.2,6.3
2020-04-19,"San Juan",39.2,12.1
2020-04-19,"Southeast Utah",2.5,1.1
2020-04-19,"Southwest Utah",1.6,0.8
2020-04-19,"Summit County",30.8,9.2
2020-04-19,"Tooele County",0,1.2
2020-04-19,"TriCounty",0,0.3
2020-04-19,"Utah County",7.9,4.1
2020-04-19,"Wasatch County",29.3,7.1
2020-04-19,"Weber-Morgan",1.1,1.2
2020-04-20,"Bear River",0,0.5
2020-04-20,"Central Utah",0,2.1
2020-04-20,"Davis County",0.3,1.4
2020-04-20,"Salt Lake County",4.2,6.5
2020-04-20,"San Juan",39.2,17.7
2020-04-20,"Southeast Utah",0,1.1
2020-04-20,"Southwest Utah",0,0.7
2020-04-20,"Summit County",9.5,10.2
2020-04-20,"Tooele County",0,1.2
2020-04-20,"TriCounty",0,0.3
2020-04-20,"Utah County",3.9,4.5
2020-04-20,"Wasatch County",2.9,7.5
2020-04-20,"Weber-Morgan",1.1,1.2
2020-04-21,"Bear River",0,0.5
2020-04-21,"Central Utah",3.7,2.3
2020-04-21,"Davis County",1.7,1.4
2020-04-21,"Salt Lake County",7,6.3
2020-04-21,"San Juan",0,17.7
2020-04-21,"Southeast Utah",0,1.1
2020-04-21,"Southwest Utah",0,0.7
2020-04-21,"Summit County",9.5,11.2
2020-04-21,"Tooele County",1.4,1.2
2020-04-21,"TriCounty",0,0.3
2020-04-21,"Utah County",5.5,5
2020-04-21,"Wasatch County",5.9,8.4
2020-04-21,"Weber-Morgan",2.2,1.4
2020-04-22,"Bear River",0,0.3
2020-04-22,"Central Utah",0,2.3
2020-04-22,"Davis County",1.1,1.4
2020-04-22,"Salt Lake County",8.4,6.4
2020-04-22,"San Juan",19.6,20.5
2020-04-22,"Southeast Utah",0,1.1
2020-04-22,"Southwest Utah",2.4,0.9
2020-04-22,"Summit County",2.4,10.5
2020-04-22,"Tooele County",5.5,2
2020-04-22,"TriCounty",0,0
2020-04-22,"Utah County",5.8,5.2
2020-04-22,"Wasatch County",11.7,10.1
2020-04-22,"Weber-Morgan",1.5,1.5
2020-04-23,"Bear River",0.5,0.3
2020-04-23,"Central Utah",0,1.7
2020-04-23,"Davis County",0.3,1.2
2020-04-23,"Salt Lake County",5.9,6.2
2020-04-23,"San Juan",0,15.9
2020-04-23,"Southeast Utah",2.5,1.1
2020-04-23,"Southwest Utah",2,1
2020-04-23,"Summit County",23.7,13.2
2020-04-23,"Tooele County",1.4,2
2020-04-23,"TriCounty",0,0
2020-04-23,"Utah County",9.4,5.9
2020-04-23,"Wasatch County",11.7,11.7
2020-04-23,"Weber-Morgan",1.8,1.6
2020-04-24,"Bear River",0.5,0.4
2020-04-24,"Central Utah",0,1.6
2020-04-24,"Davis County",3.7,1.5
2020-04-24,"Salt Lake County",7.6,6.2
2020-04-24,"San Juan",19.6,18.7
2020-04-24,"Southeast Utah",0,1.1
2020-04-24,"Southwest Utah",0.8,1
2020-04-24,"Summit County",9.5,12.5
2020-04-24,"Tooele County",5.5,2.6
2020-04-24,"TriCounty",1.8,0.3
2020-04-24,"Utah County",9.7,6.9
2020-04-24,"Wasatch County",2.9,10.1
2020-04-24,"Weber-Morgan",0.7,1.6
2020-04-25,"Bear River",1.1,0.4
2020-04-25,"Central Utah",1.2,1.2
2020-04-25,"Davis County",2,1.6
2020-04-25,"Salt Lake County",8.4,6.5
2020-04-25,"San Juan",19.6,19.6
2020-04-25,"Southeast Utah",0,0.7
2020-04-25,"Southwest Utah",1.6,1.2
2020-04-25,"Summit County",4.7,12.9
2020-04-25,"Tooele County",5.5,2.8
2020-04-25,"TriCounty",0,0.3
2020-04-25,"Utah County",8.5,7.3
2020-04-25,"Wasatch County",14.7,11.3
2020-04-25,"Weber-Morgan",0.7,1.3
2020-04-26,"Bear River",0,0.3
2020-04-26,"Central Utah",0,0.7
2020-04-26,"Davis County",0.3,1.3
2020-04-26,"Salt Lake County",4,6.5
2020-04-26,"San Juan",13.1,15.9
2020-04-26,"Southeast Utah",0,0.4
2020-04-26,"Southwest Utah",0.8,1.1
2020-04-26,"Summit County",2.4,8.8
2020-04-26,"Tooele County",1.4,3
2020-04-26,"TriCounty",1.8,0.5
2020-04-26,"Utah County",8.2,7.3
2020-04-26,"Wasatch County",5.9,8
2020-04-26,"Weber-Morgan",0.7,1.3
2020-04-27,"Bear River",0,0.3
2020-04-27,"Central Utah",0,0.7
2020-04-27,"Davis County",0.3,1.3
2020-04-27,"Salt Lake County",5.3,6.7
2020-04-27,"San Juan",0,10.3
2020-04-27,"Southeast Utah",0,0.4
2020-04-27,"Southwest Utah",0.8,1.2
2020-04-27,"Summit County",2.4,7.8
2020-04-27,"Tooele County",2.8,3.4
2020-04-27,"TriCounty",0,0.5
2020-04-27,"Utah County",3.8,7.3
2020-04-27,"Wasatch County",5.9,8.4
2020-04-27,"Weber-Morgan",0.4,1.2
2020-04-28,"Bear River",0,0.3
2020-04-28,"Central Utah",0,0.2
2020-04-28,"Davis County",1.4,1.3
2020-04-28,"Salt Lake County",7.9,6.8
2020-04-28,"San Juan",0,10.3
2020-04-28,"Southeast Utah",2.5,0.7
2020-04-28,"Southwest Utah",0.8,1.3
2020-04-28,"Summit County",2.4,6.8
2020-04-28,"Tooele County",5.5,4
